#offerId;monthlyFee;newContractsForMonth;sameContractsForMonth;CancelledContractsForMonth
1;38,66;98;68;28
2;10,11;99;180;15
3;38,31;68;79;15
4;25,33;32;93;33
5;15,73;7;185;32
6;31,78;7;198;13
7;21,37;62;116;22
8;14,87;21;165;4
9;15,36;2;106;22
10;34,1;66;177;46
11;25,72;3;25;16
12;10,63;30;76;39
13;11,19;23;99;21
14;23,5;85;65;26
15;19,54;92;118;10
16;21,44;82;117;30
17;38,78;13;164;45
18;14,31;21;152;41
19;21,06;29;155;49
20;27,48;87;111;24
21;17,25;21;147;35
22;38,96;39;134;10
23;11,2;81;147;16
24;37,43;96;146;23
25;25,76;11;151;18
26;22,43;83;73;18
27;22,26;36;129;36
28;11,7;63;172;42
29;33,9;99;24;9
30;13,89;74;1;7
31;14,48;86;131;18
32;39,93;63;125;6
33;25,85;53;127;26
34;26,81;66;121;18
35;23,6;40;46;17
36;26,94;29;164;6
37;38,86;40;162;44
38;28,96;25;42;15
39;34,65;38;67;40
40;22,3;52;23;49
41;15,99;100;44;50
42;29,84;61;6;41
43;28,17;21;63;9
44;27,87;90;16;29
45;23,13;24;67;21
46;22,16;66;54;5
47;22,9;16;2;32
48;32,27;97;171;35
49;18,56;50;107;48
50;27,37;25;25;14
51;14,14;58;49;38
52;25,68;63;23;29
53;23,42;87;67;14
54;10,24;84;73;11
55;30,81;6;117;26
56;38,94;27;13;32
57;33,32;8;51;4
58;13,02;30;28;11
59;25,81;35;96;49
60;32,09;12;144;35
61;10,16;51;23;27
62;35,27;15;17;48
63;29,01;46;115;0
64;35,34;25;155;0
65;18,61;38;129;9
66;10,22;33;25;26
67;28,57;9;13;18
68;28,72;50;85;50
69;34,38;64;1;20
70;13,28;74;84;49
71;30,37;83;29;1
72;11,52;60;87;35
73;20,99;49;11;21
74;19,14;79;57;0
75;22,66;2;66;12
76;38,31;73;15;29
77;28,67;21;24;37
78;31,95;33;126;36
79;14,22;58;138;47
80;37,56;35;23;40
81;25,18;10;7;3
82;17,84;48;176;25
83;35,15;68;120;29
84;16,62;30;98;33
85;17,42;45;123;29
86;27,03;80;18;42
87;10,9;56;135;45
88;27,87;68;87;43
89;32,01;10;60;38
90;15,61;63;12;47
91;21,79;95;34;28
92;39,81;66;19;15
93;24,51;32;26;13
94;23,38;26;80;47
95;12,59;69;165;24
96;29,57;20;110;20
97;17,61;43;161;26
98;16,15;77;12;30
99;11,16;92;119;38
100;12,67;38;193;1
101;30,62;25;128;16
102;20,3;20;191;35
103;20,09;52;128;16
104;10,01;50;139;10
105;20,4;17;52;0
106;23,57;61;190;37
107;28,57;55;174;19
108;30,28;16;73;41
109;34,39;36;79;27
110;19,22;19;171;50
111;10,2;76;103;6
112;28,3;36;99;39
113;36,79;34;120;43
114;24,85;73;167;49
115;13,49;83;33;36
116;36,32;58;116;18
117;20,4;83;99;27
118;39,82;22;18;21
119;30,42;12;188;40
120;18,05;15;51;4
121;38,57;27;193;39
122;28,8;44;11;6
123;21,15;75;99;31
124;39,42;12;19;14
125;30,75;45;34;30
126;35,06;38;135;19
127;29,51;67;62;34
128;38,96;85;147;22
129;18,19;92;22;43
130;30,91;72;181;2
131;23,75;77;114;20
132;28,17;82;154;32
133;12,28;76;193;42
134;32,68;75;138;8
135;22,64;93;33;26
136;11,74;12;133;47
137;23,11;16;143;15
138;24,3;83;46;30
139;34,37;81;148;15
140;10,33;43;187;2
141;17,98;75;62;49
142;22,43;67;95;17
143;24,17;79;190;48
144;36,48;96;11;50
145;30,13;53;42;37
146;32,53;36;34;12
147;14,04;37;7;39
148;28,41;47;76;22
149;34,36;80;102;7
150;24,61;88;68;49
151;13;69;106;33
152;33,28;11;113;26
153;16,08;90;168;49
154;35,53;67;130;8
155;25,94;43;46;36
156;13,79;89;42;50
157;37,43;26;50;50
158;36,85;89;195;20
159;14,15;43;113;33
160;28,22;24;108;43
161;27,78;45;86;48
162;19,73;37;161;18
163;34,81;80;194;2
164;39,75;26;171;23
165;32,42;25;109;46
166;25,92;76;143;32
167;13,03;52;155;31
168;18,04;93;195;43
169;21,77;39;184;24
170;33,73;89;187;13
171;25,8;29;194;32
172;19,54;78;103;45
173;22,13;6;176;2
174;21,84;96;33;14
175;21,1;100;21;37
176;23,53;52;108;20
177;18,45;5;117;48
178;34,67;80;69;47
179;11,61;66;127;14
180;28,46;94;92;18
181;18,78;84;74;6
182;15,57;3;12;12
183;15,07;32;162;49
184;36,89;40;25;33
185;39,94;79;14;24
186;27,77;24;45;50
187;38,07;93;120;39
188;18,75;60;186;1
189;17,16;75;99;41
190;34,96;3;44;33
191;17,54;95;149;4
192;16,27;21;133;40
193;37,86;3;69;21
194;21,4;12;93;21
195;22,69;20;18;34
196;38,55;15;115;1
197;11,22;35;11;20
198;30,25;7;5;45
199;11,99;100;148;18
200;10,22;77;192;20
201;34,83;4;125;16
202;18,22;6;164;45
203;21,74;52;1;23
204;32,02;60;50;0
205;22,67;47;126;21
206;11,23;91;173;23
207;29,46;5;43;18
208;13,41;39;180;35
209;18,58;28;181;9
210;27,98;31;158;25
211;36,49;47;93;50
212;10,96;54;39;24
213;29,15;25;84;1
214;15,27;11;58;3
215;31,88;38;116;17
216;18,4;89;1;28
217;28,15;60;20;50
218;18,41;10;43;44
219;10,51;81;131;16
220;11,59;86;54;23
221;27,75;28;192;22
222;10,23;63;112;43
223;25,29;74;145;40
224;28,06;83;28;25
225;13,07;42;21;28
226;29,61;30;7;42
227;21,91;97;146;47
228;24,43;91;96;45
229;29,97;89;0;20
230;30,97;51;196;48
231;22,1;20;98;7
232;16,36;45;7;10
233;29,54;92;105;7
234;26,89;94;80;49
235;27,98;5;117;29
236;20,7;38;140;34
237;23,22;36;76;21
238;18,96;42;138;13
239;18,49;80;196;43
240;37,86;20;137;42
241;11,89;94;152;23
242;23,27;33;168;13
243;34,23;30;192;29
244;21,95;65;68;41
245;20,29;98;121;14
246;36,14;43;77;30
247;29,93;39;173;21
248;35,54;84;137;30
249;31,05;71;44;12
250;17,08;27;188;47
251;36,92;91;123;37
252;28,78;11;81;35
253;12,18;60;3;24
254;27,27;96;102;30
255;10,68;94;72;35
256;17,72;21;95;19
257;24,51;62;139;16
258;25,37;7;88;32
259;27,61;41;11;0
260;18,53;97;193;1
261;25,88;66;172;7
262;24,93;62;144;1
263;16,71;42;118;5
264;24,17;71;150;18
265;33,05;87;175;19
266;21,48;49;42;19
267;23,29;60;107;24
268;24,37;48;174;44
269;29,87;51;32;7
270;32,67;80;75;41
271;34,26;30;90;46
272;22,21;51;99;9
273;21,4;97;145;17
274;33,21;9;151;0
275;31,72;54;174;30
276;25,33;1;151;42
277;38,09;37;137;28
278;10,77;67;146;36
279;26,1;10;30;34
280;32,99;18;115;7
281;34,56;17;79;43
282;21,44;38;30;23
283;19,36;10;94;16
284;23,87;49;141;40
285;19,04;23;189;22
286;13,95;5;46;15
287;16,37;9;175;37
288;22,1;93;39;17
289;21,47;17;3;41
290;39,21;52;63;21
291;29,94;65;33;9
292;27,96;9;146;4
293;36,51;41;72;0
294;20,36;79;26;32
295;20,7;70;51;38
296;35,75;99;65;13
297;36,85;74;163;36
298;37,48;39;142;41
299;17,54;85;182;35
300;25,86;76;134;35
301;21,26;65;74;18
302;38,78;30;181;22
303;11,02;58;45;14
304;21,67;87;106;26
305;29,2;6;170;15
306;36,85;16;200;46
307;31,48;98;19;21
308;27,45;7;80;3
309;18,92;76;28;50
310;10,12;97;163;33
311;30,68;17;129;34
312;37,78;23;67;6
313;38,17;15;1;22
314;34,77;34;67;49
315;34,09;14;45;14
316;11,01;91;14;2
317;25,91;22;173;37
318;38,71;28;37;30
319;39,81;1;138;17
320;28,22;23;63;10
321;10,49;24;5;5
322;16,42;77;197;0
323;36,16;16;137;36
324;16,18;77;8;49
325;18,46;31;73;15
326;39,19;71;180;46
327;23,83;88;100;2
328;20,89;18;30;4
329;18,9;24;199;50
330;35,27;36;82;20
331;39,5;45;165;45
332;25,07;40;176;25
333;19,84;79;74;2
334;18,68;70;149;33
335;13,52;95;40;2
336;17,08;64;110;47
337;27,22;60;138;3
338;25,29;11;46;25
339;11,89;78;101;32
340;16,01;100;98;0
341;12,79;27;164;1
342;20,81;63;37;23
343;18,38;62;175;6
344;16,53;46;149;5
345;31;9;14;6
346;25,93;86;125;29
347;24,15;24;81;16
348;26,61;58;186;22
349;34,58;91;170;32
350;17,95;48;150;9
351;16,74;78;36;13
352;38,25;58;121;33
353;38,13;61;25;43
354;31,43;82;15;6
355;25,43;28;58;10
356;13,25;10;62;49
357;30,54;34;189;43
358;38,28;3;151;34
359;32,66;8;116;5
360;16,13;5;182;0
361;17,63;27;27;47
362;28,03;0;101;45
363;11,57;10;178;46
364;18,42;15;6;12
365;30,85;80;91;21
366;18,34;43;139;23
367;15,74;54;83;17
368;20,28;92;65;5
369;11,12;50;66;34
370;39,71;59;190;10
371;29,31;61;178;10
372;36,05;30;52;23
373;13,27;13;90;15
374;14,27;1;21;18
375;24,55;59;154;18
376;18,38;72;5;47
377;19,88;51;171;4
378;14,28;9;57;6
379;30,68;23;74;17
380;14,8;46;111;11
381;10,26;100;78;44
382;18,75;61;110;30
383;28,06;64;141;38
384;13,11;92;152;43
385;18,69;15;115;8
386;30,81;64;134;1
387;16,55;63;176;8
388;35,06;14;69;49
389;32,07;63;196;14
390;33,22;23;161;7
391;24,25;63;169;30
392;19,13;52;94;0
393;35,09;86;140;27
394;24,69;54;112;38
395;21,1;66;165;6
396;23,57;7;41;7
397;17,85;74;95;15
398;21,19;75;187;2
399;24,12;46;61;44
400;20,52;73;15;5
401;28,26;83;74;13
402;12,88;32;133;0
403;20,91;99;80;34
404;22,61;34;61;50
405;15,24;95;151;38
406;15,92;75;97;32
407;33,43;17;168;39
408;22,11;36;25;2
409;10,36;97;29;5
410;17,67;12;41;24
411;23,92;14;90;48
412;34,54;32;78;33
413;31,37;4;82;28
414;28,23;83;61;45
415;38,31;15;133;21
416;30,45;83;117;37
417;22,66;42;178;36
418;24,57;95;97;1
419;27,22;7;78;38
420;28,63;0;17;4
421;27,61;33;182;28
422;33,5;11;78;37
423;23,22;11;64;43
424;16,95;43;1;27
425;39,39;8;168;10
426;33,4;42;137;21
427;24,1;56;32;24
428;37,61;1;38;26
429;14,24;44;21;29
430;15,61;18;162;2
431;26,6;23;120;23
432;25,92;50;5;34
433;11,55;12;58;49
434;12,98;59;127;4
435;35,99;2;105;44
436;15,17;53;153;8
437;14,82;29;133;26
438;21,93;52;41;30
439;12,01;40;127;36
